"","Duration..in.seconds.","condition","uhc_belief_c","uhc_persuadable","uhc_support","uhc_conviction_1","uhc_conviction_2","uhc_conviction_3","uhc_conviction_4","uhc_conviction_5","uhc_conviction_6","uhc_conviction_7","death_belief_c","death_persuadable","death_support","death_conviction_1","death_conviction_2","death_conviction_3","death_conviction_4","death_conviction_5","death_conviction_6","death_conviction_7","exercise_belief_c","exercise_persuadable","exercise_support","exercise_conviction_1","exercise_conviction_2","exercise_conviction_3","exercise_conviction_4","exercise_conviction_5","exercise_conviction_6","exercise_conviction_7","climate_belief_c","climate_persuadable","climate_support","climate_conviction_1","climate_conviction_2","climate_conviction_3","climate_conviction_4","climate_conviction_5","climate_conviction_6","climate_conviction_7","uhc_moral_c","death_moral_c","exercise_moral_c","climate_moral_c"
"16",457,"Moral Responsibility",-10,11,-10,31,0,5,29,25,8,14,-41,-44,26,19,0,11,32,37,38,36,-50,50,50,6,0,10,11,10,10,10,31,41,48,41,0,36,38,43,43,43,16,24.7142857142857,8.14285714285714,34.8571428571429
"17",1234,"Moral Responsibility",2,22,37,28,4,-15,0,9,11,12,28,19,36,25,-4,33,-23,15,26,32,-50,37,50,50,-4,1,50,-20,0,0,50,26,1,1,-4,1,1,1,1,1,7,14.8571428571429,11,0.285714285714286
"18",288,"Moral Responsibility",27,21,16,23,34,6,-10,7,11,-7,-16,-12,-31,-10,-34,-50,-48,-31,-41,-18,-44,19,50,26,-34,26,17,45,15,33,20,25,23,-10,-34,-12,14,-6,7,0,9.14285714285714,-33.1428571428571,18.2857142857143,-5.85714285714286
"19",112,"Moral Responsibility",11,-4,14,-8,-6,-9,7,-19,12,-28,-23,23,4,7,6,-8,5,12,6,-8,23,20,14,12,6,-7,12,-7,15,15,-11,-6,-6,-14,6,11,-11,-11,-9,-11,-7.28571428571429,2.85714285714286,6.57142857142857,-5.57142857142857
"20",759,"Moral Responsibility",32,22,26,28,20,15,15,28,21,25,20,20,6,31,-20,18,15,15,15,18,12,20,7,0,-20,-8,9,5,5,7,23,26,23,20,-20,-6,5,6,8,8,21.7142857142857,13.1428571428571,-0.285714285714286,3
"21",204,"Moral Responsibility",-8,10,30,14,-13,11,13,16,18,19,11,11,12,11,13,11,14,14,18,16,-9,8,50,7,13,4,4,7,8,11,-12,13,6,9,13,10,13,13,10,10,11.1428571428571,13.8571428571429,7.71428571428571,11.1428571428571
"22",546,"Moral Responsibility",31,39,50,40,50,50,50,-1,43,50,50,50,-19,50,-50,50,50,50,50,50,-32,50,50,50,-50,1,50,50,2,1,-50,50,50,50,-50,50,50,50,50,50,40.2857142857143,35.7142857142857,14.8571428571429,35.7142857142857
"23",152,"Moral Responsibility",11,15,-21,12,18,25,33,23,-21,19,15,8,33,14,-18,13,33,27,-21,-29,12,28,19,28,-18,34,26,23,37,24,13,29,24,17,-18,20,38,32,14,30,15.5714285714286,2.71428571428571,22,19
"24",801,"Moral Responsibility",-36,-50,45,33,50,19,41,30,25,29,-40,15,-50,31,-50,34,37,38,42,41,33,-11,30,-41,-50,-49,-49,-50,-50,-50,-49,-49,50,19,-50,13,50,50,14,19,32.4285714285714,24.7142857142857,-48.4285714285714,16.4285714285714
"25",190,"Moral Responsibility",20,14,33,32,25,29,25,36,15,32,-9,9,-19,34,-25,38,26,25,35,38,13,13,28,-7,-25,-41,11,-27,-31,-27,-20,12,42,35,-25,26,34,35,21,36,27.7142857142857,24.4285714285714,-21,23.1428571428571
"26",118,"Moral Responsibility",20,23,19,16,-20,20,21,23,22,25,14,19,25,24,20,24,24,24,21,24,12,15,18,21,20,22,24,26,30,33,19,21,20,18,20,30,25,27,25,23,15.2857142857143,23,25.1428571428571,24
"27",435,"Moral Responsibility",20,2,-17,16,18,14,-30,-28,-32,-28,15,22,-19,47,-18,43,12,-18,34,31,-47,19,50,34,-18,15,21,-22,24,22,15,20,33,28,-18,30,25,26,25,25,-10,18.7142857142857,10.8571428571429,20.1428571428571
"28",311,"Moral Responsibility",10,7,7,39,13,11,-5,13,8,4,-10,6,11,10,-13,9,-6,-2,-3,5,14,10,39,41,-13,29,15,25,22,20,15,21,18,19,-13,-10,12,11,-9,11,11.8571428571429,0,19.8571428571429,3
"29",406,"Moral Responsibility",20,-21,7,10,39,28,-34,-17,-15,11,-20,0,-30,50,-39,50,37,38,12,13,-50,-50,50,-50,-39,-50,-19,-50,-50,-49,13,15,16,18,-39,14,7,9,12,13,3.14285714285714,23,-43.8571428571429,4.85714285714286
"30",98,"Moral Piggybacking",-19,-15,-16,7,14,-5,-12,-20,-11,19,3,-7,-7,-4,-14,-7,6,1,3,10,15,25,31,15,-14,20,23,26,25,26,-12,-20,-16,-13,-14,-10,-13,-8,-6,-6,-1.14285714285714,-0.714285714285714,17.2857142857143,-10
"31",837,"Moral Piggybacking",27,0,-10,15,15,5,25,10,5,5,0,-10,5,30,-15,40,30,30,30,30,0,-20,50,0,-15,0,0,0,0,0,0,0,50,35,-15,5,35,35,35,35,11.4285714285714,25,-2.14285714285714,23.5714285714286
"32",87095,"Moral Piggybacking",18,20,22,22,22,21,25,26,28,25,30,26,-18,16,-22,43,33,31,35,42,44,37,44,11,-22,0,1,1,1,0,27,18,30,22,-22,26,-21,-19,-23,-22,24.1428571428571,25.4285714285714,-1.14285714285714,-8.42857142857143
"33",414,"Moral Piggybacking",25,32,50,15,9,17,25,32,18,13,4,10,-15,31,-9,42,25,17,29,19,8,-6,10,-15,-9,-3,-10,35,-8,-6,16,22,19,20,-9,6,13,21,6,11,18.4285714285714,22,-2.28571428571429,9.71428571428571
"34",515,"Moral Piggybacking",0,30,30,25,5,-5,0,30,0,0,10,20,-20,25,-5,30,35,35,35,35,1,20,40,0,-5,-10,-5,5,0,0,20,25,25,0,-5,-10,10,10,0,0,7.85714285714286,27.1428571428571,-2.14285714285714,0.714285714285714
"35",2109,"Moral Piggybacking",-20,-20,-30,11,10,-30,10,-12,-19,-22,-30,-10,30,30,-10,-30,30,30,30,30,30,30,30,20,-10,10,10,10,10,10,-50,-50,-50,-50,-10,-50,50,50,50,50,-7.42857142857143,15.7142857142857,8.57142857142857,12.8571428571429
"36",168,"Moral Piggybacking",7,11,19,8,2,2,-6,-3,5,6,-4,6,-4,3,-2,10,-9,-14,12,11,12,10,20,11,-2,-7,12,13,-14,-21,16,-11,6,11,-2,22,-5,4,7,6,2,1.57142857142857,-1.14285714285714,6.14285714285714
"37",398,"Moral Piggybacking",20,21,30,28,21,14,29,35,37,38,0,20,-25,30,-21,30,28,29,27,25,34,28,21,50,-21,-21,13,14,-33,-33,-31,24,42,28,-21,24,22,23,19,18,28.8571428571429,21.1428571428571,-4.42857142857143,16.1428571428571
"38",111,"Moral Piggybacking",24,28,26,28,5,-8,20,-6,-10,31,32,28,12,-10,-5,-6,8,-4,11,-10,22,39,40,-20,-5,-7,-15,11,14,-37,23,25,21,8,-5,9,10,10,-11,-11,8.57142857142857,-2.28571428571429,-8.42857142857143,1.42857142857143
"39",243,"Moral Piggybacking",20,-11,0,31,17,20,23,21,-3,-3,-30,9,32,20,-17,20,22,25,24,23,7,18,44,-11,-17,0,4,-5,-4,-3,10,9,13,20,-17,-10,20,-11,19,17,15.1428571428571,16.7142857142857,-5.14285714285714,5.42857142857143
"40",2396,"Moral Piggybacking",36,16,37,39,36,28,29,20,26,26,-26,32,-37,-30,-36,26,25,26,25,28,17,25,23,23,-36,-5,8,3,-2,1,-31,16,47,43,-36,16,41,34,14,18,29.1428571428571,9.14285714285714,-1.14285714285714,18.5714285714286
"41",221,"Moral Piggybacking",19,30,18,30,43,11,16,20,4,8,10,29,20,27,-43,-12,14,12,12,16,23,39,50,17,-43,-16,30,29,13,12,6,17,13,10,-43,-14,9,9,7,3,18.8571428571429,3.71428571428571,6,-2.71428571428571
"42",354,"Moral Piggybacking",35,20,19,-12,9,-10,13,16,-4,-7,34,15,-50,42,-9,41,43,41,35,40,-47,-21,50,-14,-9,-17,-16,13,-19,-13,-10,15,-17,-15,-9,-11,-14,-18,-18,-18,0.714285714285714,33.2857142857143,-10.7142857142857,-14.7142857142857
"43",390,"Moral Piggybacking",-49,0,50,50,50,50,50,50,50,50,19,22,-10,50,-50,50,50,24,35,37,21,31,50,-11,-50,-10,-10,-9,-40,-39,-50,34,50,50,-50,50,50,50,50,50,50,28,-24.1428571428571,35.7142857142857
"44",97,"Moral Piggybacking",9,7,22,-4,-14,18,18,26,23,18,18,20,25,9,14,36,23,30,25,3,28,23,50,32,14,22,32,22,25,20,27,18,35,-21,14,15,31,34,27,-2,12.1428571428571,20,23.8571428571429,14
"45",350,"Moral Piggybacking",30,20,50,30,30,39,40,40,40,40,33,20,-10,50,-30,19,19,19,20,19,-10,20,50,-10,-30,-15,22,23,-10,-10,21,21,41,50,-30,13,17,19,-21,-21,37,16.5714285714286,-4.28571428571429,3.85714285714286
"46",943,"Moral Piggybacking",-17,-30,-20,30,15,-5,20,25,-15,10,15,7,10,20,-15,10,10,30,-5,-5,-30,-20,50,50,-15,10,40,50,30,40,-25,-30,5,20,-15,15,30,15,-6,-10,11.4285714285714,6.42857142857143,29.2857142857143,7
"47",694,"Moral Piggybacking",-50,25,50,50,50,50,50,50,50,50,-40,35,-50,50,-50,50,50,50,50,50,-50,40,-50,30,-50,-30,31,30,-30,10,-50,50,50,50,-50,50,50,50,50,50,50,35.7142857142857,-1.28571428571429,35.7142857142857
"48",409,"Moral Piggybacking",27,45,2,42,14,6,6,10,-6,15,-4,-9,40,12,-14,-5,-5,50,-1,2,12,44,50,8,-14,3,18,20,4,4,18,36,49,26,-14,9,24,38,3,21,12.4285714285714,5.57142857142857,6.14285714285714,15.2857142857143
"49",463,"Moral Piggybacking",34,15,17,50,2,7,6,12,16,16,-29,-12,-1,7,-2,50,28,22,28,21,-35,18,50,50,-2,-28,31,39,-50,50,8,6,20,16,-2,15,8,9,12,17,15.5714285714286,22,12.8571428571429,10.7142857142857
"50",418,"Moral Piggybacking",13,29,25,25,-11,28,1,15,20,26,-8,8,16,17,11,13,13,13,5,8,31,30,50,12,11,1,10,-11,11,-25,25,23,45,26,11,-19,9,5,6,10,14.8571428571429,11.4285714285714,1.28571428571429,6.85714285714286
"51",95,"Moral Piggybacking",16,13,11,9,-14,12,12,11,11,13,17,10,10,14,14,11,16,13,16,17,18,12,15,14,14,15,16,20,17,10,20,15,14,14,14,19,13,16,19,20,7.71428571428571,14.4285714285714,15.1428571428571,16.4285714285714
"52",120,"Moral Piggybacking",-1,-1,-1,-1,1,-1,-2,-3,-2,-2,-4,-5,-18,3,-1,3,4,3,6,8,10,9,6,8,-1,10,5,4,16,-43,5,4,8,7,-1,10,9,9,11,11,-1.42857142857143,3.71428571428571,-0.142857142857143,8
"53",369,"Moral Piggybacking",22,40,50,11,5,-14,50,40,35,40,30,10,-30,50,-5,35,30,30,20,25,-10,-15,20,20,-5,10,-5,-5,-10,-10,-50,-30,30,50,-5,30,30,50,45,40,23.8571428571429,26.4285714285714,-0.714285714285714,34.2857142857143
"54",412,"Moral Piggybacking",23,32,31,26,16,-12,19,30,31,30,-40,47,-50,-21,-16,24,50,50,50,50,26,5,30,-16,-16,-26,-30,-25,-28,-45,-32,32,34,22,-16,22,32,34,32,34,20,26.7142857142857,-26.5714285714286,22.8571428571429
"55",576,"Moral Piggybacking",15,-15,-20,35,-35,-20,35,-5,-35,-35,-50,-50,50,19,35,35,35,50,50,50,-25,-15,50,25,35,-20,30,15,-17,-18,30,20,20,20,35,20,10,10,-10,-10,-8.57142857142857,39.1428571428571,7.14285714285714,10.7142857142857
"56",110,"Moral Piggybacking",4,10,6,6,-8,8,10,10,9,11,15,8,8,11,8,10,9,-6,6,6,8,7,7,12,8,-8,6,6,5,6,16,18,13,13,8,12,12,11,12,15,6.57142857142857,6.28571428571429,5,11.8571428571429
"57",684,"Moral Piggybacking",10,30,35,50,50,30,30,30,20,40,-10,-40,0,40,-50,35,20,40,20,20,0,-40,15,-20,-50,-20,0,0,10,20,-30,-30,35,5,-50,15,-20,-20,-35,-10,35.7142857142857,17.8571428571429,-8.57142857142857,-16.4285714285714
"58",396,"Moral Piggybacking",12,11,26,33,-18,41,9,16,-6,-7,17,27,25,17,18,18,-4,11,-9,-4,28,34,50,-50,18,-50,-25,22,-50,-50,32,18,40,-36,18,-19,-21,-18,-20,-30,9.71428571428571,6.71428571428571,-26.4285714285714,-18
"59",131,"Moral Piggybacking",-28,14,21,46,27,13,-17,20,-12,38,-13,15,24,33,-27,-29,-11,33,13,2,19,-11,22,16,-27,25,15,22,17,0,21,-13,27,24,-27,24,29,12,-13,17,16.4285714285714,2,9.71428571428571,9.42857142857143
"60",140,"Pragmatic",32,4,21,12,-16,25,23,25,22,22,16,7,-16,14,16,24,-15,-26,-20,12,-7,7,27,25,16,-24,-29,19,15,28,-18,6,23,18,16,-25,19,18,18,31,16.1428571428571,0.714285714285714,7.14285714285714,13.5714285714286
"61",511,"Pragmatic",42,22,31,50,30,-20,-40,-19,13,0,42,0,10,42,-30,21,0,0,11,0,-31,-30,50,-30,-30,-42,11,11,-41,-50,32,16,43,42,-30,0,9,9,-8,-18,2,6.28571428571429,-24.4285714285714,0.571428571428571
"62",226,"Pragmatic",12,23,34,15,24,25,21,25,31,32,16,30,4,30,-24,35,38,38,37,43,43,40,50,-2,-24,17,20,-25,-15,-11,50,33,50,42,-24,42,47,41,40,42,24.7142857142857,28.1428571428571,-5.71428571428571,32.8571428571429
"63",390,"Pragmatic",-21,32,22,42,42,42,40,41,40,30,14,25,-13,31,-42,23,23,24,24,29,-11,21,50,-12,-42,1,11,25,12,11,-31,41,46,40,-42,39,23,27,26,28,39.5714285714286,16,0.857142857142857,20.1428571428571
"64",381,"Pragmatic",-16,11,5,37,31,0,10,12,7,12,-44,-42,33,16,-31,21,40,33,43,49,-39,28,38,41,-31,34,24,13,15,13,-25,14,50,25,-31,17,14,22,20,19,15.5714285714286,24.4285714285714,15.5714285714286,12.2857142857143
"65",1026,"Pragmatic",41,26,31,50,22,22,24,32,31,33,-33,-31,23,34,-22,7,24,27,16,12,-50,21,50,22,-22,5,25,25,26,28,-30,-7,11,0,-22,5,28,-11,-10,-10,30.5714285714286,14,15.5714285714286,-2.85714285714286
"66",508,"Pragmatic",30,19,15,35,20,30,17,17,22,22,-14,30,-17,20,-20,16,21,20,19,19,32,36,48,-18,-20,-2,-10,-5,-3,-2,21,7,35,26,-20,28,28,26,29,34,23.2857142857143,13.5714285714286,-8.57142857142857,21.5714285714286
"67",532,"Pragmatic",45,46,10,43,40,25,0,10,0,0,28,27,11,50,-40,50,15,50,25,33,0,50,50,-20,-40,-20,-43,0,-50,-50,5,50,50,41,-40,32,9,50,9,9,16.8571428571429,26.1428571428571,-31.8571428571429,15.7142857142857
"68",426,"Pragmatic",21,33,-16,-19,-19,13,-27,-16,-22,18,-31,-9,23,21,19,37,-13,38,-15,19,-23,22,50,-19,19,-46,18,-40,-41,-36,15,17,28,15,19,-16,-15,19,11,11,-10.2857142857143,15.1428571428571,-20.7142857142857,6.28571428571429
"69",459,"Pragmatic",20,10,30,40,30,30,30,30,30,30,-10,-2,20,0,-30,30,-10,20,-10,-10,-10,10,36,-21,-30,-30,20,-29,-1,-3,-31,18,29,34,-30,38,39,36,40,41,31.4285714285714,-1.42857142857143,-13.4285714285714,28.2857142857143
"70",380,"Pragmatic",-20,4,30,23,18,21,18,17,20,26,-1,10,-50,50,-18,50,32,28,39,48,2,2,50,8,-18,5,3,2,3,2,2,1,39,41,-18,36,30,28,21,50,20.4285714285714,32.7142857142857,0.714285714285714,26.8571428571429
"71",324,"Pragmatic",-6,-20,12,10,4,12,7,8,0,1,-20,12,22,17,-4,12,1,1,10,9,-1,-6,50,-19,-4,-24,31,-8,-10,-10,20,8,8,18,-4,-3,5,12,-8,-9,6,6.57142857142857,-6.28571428571429,1.57142857142857
"72",360,"Pragmatic",40,20,30,28,32,28,31,35,31,34,50,10,-30,50,-32,50,50,50,50,50,50,15,50,13,-32,24,33,35,37,37,50,17,50,28,-32,28,33,36,31,35,31.2857142857143,38.2857142857143,21,22.7142857142857
"73",229,"Pragmatic",-40,3,50,50,45,50,50,50,50,50,-24,4,-50,41,-45,50,40,37,50,50,31,12,50,6,-45,-50,-50,-50,-24,-32,-50,1,50,50,-45,50,50,50,50,50,49.2857142857143,31.8571428571429,-35,36.4285714285714
"74",386,"Pragmatic",-45,0,50,50,35,50,50,50,50,50,-40,0,-50,50,-35,50,50,50,50,50,-45,0,45,16,-35,10,45,0,10,10,-50,6,50,50,-35,50,50,50,50,50,47.8571428571429,37.8571428571429,8,37.8571428571429
"75",621,"Pragmatic",25,20,20,40,30,20,10,10,8,10,-10,-10,5,40,-30,30,30,30,30,27,30,40,50,-20,-30,-20,10,10,-20,-12,30,20,50,40,-30,50,50,48,35,20,18.2857142857143,22.4285714285714,-11.7142857142857,30.4285714285714
"76",218,"Pragmatic",6,3,6,6,5,2,-7,8,5,-1,12,8,-8,-4,-5,-4,8,-8,5,-5,20,19,18,16,-5,17,15,17,18,17,1,2,3,3,-5,3,3,3,3,5,2.57142857142857,-1.85714285714286,13.5714285714286,2.14285714285714
"77",215,"Pragmatic",38,20,50,50,50,26,37,-37,18,28,39,24,-32,38,-50,19,29,12,25,27,50,20,42,11,-50,-13,-14,14,-17,-15,50,32,50,27,-50,22,16,9,10,9,24.5714285714286,14.2857142857143,-12,6.14285714285714
"78",245,"Pragmatic",18,32,39,29,-14,14,32,12,20,15,7,18,8,12,14,13,6,12,10,13,44,21,27,16,14,-16,6,-6,-11,-9,28,40,20,49,14,14,48,45,26,34,15.4285714285714,11.4285714285714,-0.857142857142857,32.8571428571429
"79",587,"Pragmatic",19,19,28,22,-9,12,8,28,8,14,23,32,0,5,9,13,6,24,12,16,34,29,30,1,9,7,1,1,1,1,26,30,44,21,9,18,21,25,6,12,11.8571428571429,12.1428571428571,3,16
"80",312,"Pragmatic",30,25,20,20,10,0,0,0,0,20,10,10,0,0,-10,31,0,0,0,0,30,30,15,0,-10,30,0,0,0,0,20,20,25,0,-10,20,0,0,0,0,7.14285714285714,3,2.85714285714286,1.42857142857143
"81",199,"Pragmatic",42,33,31,15,7,4,8,14,33,50,41,20,50,9,-7,27,6,2,4,31,30,-15,24,19,-7,15,26,16,15,18,20,-16,-14,21,-7,27,-19,21,-16,18,18.7142857142857,10.2857142857143,14.5714285714286,6.42857142857143
"82",389,"Pragmatic",-20,-9,21,13,10,8,-30,-15,-22,-25,4,19,-22,27,-10,10,27,11,-11,-11,-21,18,50,22,-10,-10,30,-32,-27,-26,20,-29,-17,9,-10,-11,-32,-33,-48,-33,-8.71428571428571,6.14285714285714,-7.57142857142857,-22.5714285714286
"83",766,"Pragmatic",14,25,36,19,15,25,14,0,11,7,22,25,9,44,-15,15,45,45,41,39,32,31,50,13,-15,-8,-27,-27,-32,-33,17,30,21,23,-15,31,16,24,18,19,13,30.5714285714286,-18.4285714285714,16.5714285714286
"84",235,"Pragmatic",11,0,20,33,13,8,33,24,19,21,10,0,12,26,-13,28,28,30,31,30,10,0,37,30,-13,0,0,-4,-4,8,15,0,20,30,-13,29,7,10,-9,-8,21.5714285714286,22.8571428571429,2.42857142857143,6.57142857142857
"85",2829,"Pragmatic",43,34,36,17,14,14,24,27,31,33,7,21,-2,17,-14,46,21,32,28,26,19,44,50,43,-14,6,45,7,8,50,32,32,34,32,-14,40,33,34,24,24,22.8571428571429,22.2857142857143,20.7142857142857,24.7142857142857
"86",303,"Pragmatic",50,26,12,50,15,-41,50,50,50,50,20,30,-10,20,-15,40,50,50,50,50,50,50,50,-50,-15,40,50,50,50,50,-50,-16,-6,50,-15,50,50,50,30,50,32,35,25,37.8571428571429
"87",262,"Pragmatic",12,13,-21,19,50,21,30,-33,-49,-50,-50,-50,50,50,-50,11,-50,50,-28,50,-50,-50,50,50,-50,-50,-50,-50,-50,-50,30,13,29,20,-50,-50,-20,-50,-50,-50,-1.71428571428571,4.71428571428571,-35.7142857142857,-35.7142857142857
"88",385,"Pragmatic",-20,25,40,50,35,35,50,50,35,35,-20,-15,-30,50,-35,50,50,50,50,50,-30,-40,40,-45,-35,-45,10,-50,-50,-50,-50,-10,50,50,-35,50,50,50,50,50,41.4285714285714,37.8571428571429,-37.8571428571429,37.8571428571429
"89",437,"Pragmatic",20,20,15,35,-25,25,25,15,15,15,4,4,4,20,25,20,11,6,7,12,14,24,18,16,25,7,11,16,12,15,9,8,9,10,25,8,11,9,6,9,15,14.4285714285714,14.5714285714286,11.1428571428571
"90",121,"Pragmatic",22,27,16,19,-38,21,33,36,30,39,24,15,28,31,38,48,19,29,23,26,48,28,30,15,38,34,21,24,36,30,30,28,36,22,38,30,26,40,25,35,20,30.5714285714286,28.2857142857143,30.8571428571429
"91",198,"Hedonic",27,7,12,15,-22,5,14,13,24,36,-50,-25,50,-23,22,-23,11,13,15,20,-50,19,16,12,22,14,11,27,14,11,17,20,16,16,22,8,-11,17,-21,17,12.1428571428571,5,15.8571428571429,6.85714285714286
"92",1131,"Hedonic",12,15,3,28,28,9,18,18,24,9,-33,-10,13,22,-28,50,34,37,38,38,20,31,36,-27,-28,-29,-10,-41,-41,-40,0,5,29,32,-28,7,16,-7,7,9,19.1428571428571,27.2857142857143,-30.8571428571429,5.14285714285714
"93",394,"Hedonic",-25,-35,-40,31,9,-1,-2,-7,9,9,11,-50,1,21,-9,17,-3,7,7,8,-40,21,50,-9,-9,-9,5,5,5,5,10,11,20,12,-9,-10,4,5,5,6,6.85714285714286,6.85714285714286,-1,1.85714285714286
"94",331,"Hedonic",20,30,31,41,41,26,27,6,20,25,21,20,-30,31,-41,29,30,31,30,30,37,37,41,27,-41,-22,-16,-16,-19,-19,35,38,39,50,-41,17,16,19,20,20,26.5714285714286,20,-15.1428571428571,14.4285714285714
"95",523,"Hedonic",27,-13,18,31,20,-15,-21,-7,-16,-20,6,-8,-15,32,-20,-1,-12,-11,-7,-17,21,21,-20,-13,-20,-17,4,-14,-19,-15,32,-15,18,11,-20,-11,7,16,21,10,-4,-5.14285714285714,-13.4285714285714,4.85714285714286
"96",269,"Hedonic",10,0,10,10,5,10,0,5,0,5,20,10,-30,-20,-5,20,0,9,0,0,1,1,50,0,-5,-39,-24,-13,-32,-30,1,11,22,16,-5,10,3,14,5,8,5,0.571428571428571,-20.4285714285714,7.28571428571429
"97",302,"Hedonic",42,35,50,43,26,36,50,50,50,50,42,50,-50,50,-26,50,50,50,50,50,32,42,50,-20,-26,-28,29,12,2,5,34,30,50,50,-26,-50,49,50,-50,-50,43.5714285714286,39.1428571428571,-3.71428571428571,-3.85714285714286
"98",317,"Hedonic",20,50,50,50,11,24,25,41,36,42,17,12,-10,34,-11,36,29,24,24,18,-11,23,50,10,-11,-6,-7,-8,-10,-10,-8,31,50,21,-11,23,50,50,30,37,32.7142857142857,22,-6,28.5714285714286
